%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 0.00000000e+00 1.42369185e+01 5.78671323e-02 1.93184453e-01 7.03578178e-02
{2} 0.00000000e+00 1.42369185e+01 5.78671323e-02 1.93184453e-01 7.03578178e-02
{3} 0.00000000e+00 1.30434248e+01 5.44669705e-02 2.24024374e-01 7.67809566e-02
{4} 0.00000000e+00 1.30434248e+01 5.44669705e-02 2.24024374e-01 7.67809566e-02
{5} 0.00000000e+00 1.31937420e+01 5.44157942e-02 2.21680337e-01 7.59059739e-02
{6} 0.00000000e+00 1.31937420e+01 5.44157942e-02 2.21680337e-01 7.59059739e-02
{7} 0.00000000e+00 1.15908348e+01 3.64753014e-02 3.76449330e-01 8.63325127e-02
{8} 0.00000000e+00 1.15908348e+01 3.64753014e-02 3.76449330e-01 8.63325127e-02
{9} 0.00000000e+00 1.14920128e+00 1.48393953e-01 9.33271115e-01 8.79911676e-01
{10} 0.00000000e+00 1.14920128e+00 1.48393953e-01 9.33271115e-01 8.79911676e-01
{11} 0.00000000e+00 9.57953799e-01 1.67270276e-01 9.93245928e-01 1.05880916e+00
{12} 0.00000000e+00 9.57953799e-01 1.67270276e-01 9.93245928e-01 1.05880916e+00
{13} 0.00000000e+00 6.24247671e-01 2.58167236e-01 9.87556785e-01 1.65813879e+00
{14} 0.00000000e+00 6.24247671e-01 2.58167236e-01 9.87556785e-01 1.65813879e+00
{15} 0.00000000e+00  NaN  NaN -4.05432800e-01  Inf
{16} 0.00000000e+00  NaN  NaN 3.45865182e-01  Inf
{17} 0.00000000e+00  NaN  NaN -Inf  Inf
{18} 0.00000000e+00  NaN  NaN -Inf  Inf

